,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
128,128,128.0,128.0,128.0,guo_readmission,guo_readmission,count,gbm,1,48,brier,0.3286795630933791
129,129,129.0,129.0,129.0,guo_readmission,guo_readmission,count,gbm,2,48,auroc,0.6719015432467998
130,130,130.0,130.0,130.0,guo_readmission,guo_readmission,count,gbm,2,48,auprc,0.2307551410809781
131,131,131.0,131.0,131.0,guo_readmission,guo_readmission,count,gbm,2,48,brier,0.407770669024893
132,132,132.0,132.0,132.0,guo_readmission,guo_readmission,count,gbm,3,48,auroc,0.6987588228256968
133,133,133.0,133.0,133.0,guo_readmission,guo_readmission,count,gbm,3,48,auprc,0.253164668548499
134,134,134.0,134.0,134.0,guo_readmission,guo_readmission,count,gbm,3,48,brier,0.3026533713894331
135,135,135.0,135.0,135.0,guo_readmission,guo_readmission,count,gbm,4,48,auroc,0.7209524664034772
136,136,136.0,136.0,136.0,guo_readmission,guo_readmission,count,gbm,4,48,auprc,0.2298623572028381
137,137,137.0,137.0,137.0,guo_readmission,guo_readmission,count,gbm,4,48,brier,0.3037987492461913
138,138,138.0,138.0,138.0,guo_readmission,guo_readmission,count,gbm,0,64,auroc,0.7456284643298638
139,139,139.0,139.0,139.0,guo_readmission,guo_readmission,count,gbm,0,64,auprc,0.2700267569521251
140,140,140.0,140.0,140.0,guo_readmission,guo_readmission,count,gbm,0,64,brier,0.2331111003973077
141,141,141.0,141.0,141.0,guo_readmission,guo_readmission,count,gbm,1,64,auroc,0.6783596522710053
142,142,142.0,142.0,142.0,guo_readmission,guo_readmission,count,gbm,1,64,auprc,0.2313068277371526
143,143,143.0,143.0,143.0,guo_readmission,guo_readmission,count,gbm,1,64,brier,0.2049026990435507
144,144,144.0,144.0,144.0,guo_readmission,guo_readmission,count,gbm,2,64,auroc,0.6951150456593692
145,145,145.0,145.0,145.0,guo_readmission,guo_readmission,count,gbm,2,64,auprc,0.2284888024889887
146,146,146.0,146.0,146.0,guo_readmission,guo_readmission,count,gbm,2,64,brier,0.2594849520057023
147,147,147.0,147.0,147.0,guo_readmission,guo_readmission,count,gbm,3,64,auroc,0.6932946524703911
148,148,148.0,148.0,148.0,guo_readmission,guo_readmission,count,gbm,3,64,auprc,0.2586660664396083
149,149,149.0,149.0,149.0,guo_readmission,guo_readmission,count,gbm,3,64,brier,0.3994038952155841
150,150,150.0,150.0,150.0,guo_readmission,guo_readmission,count,gbm,4,64,auroc,0.7160226502372693
151,151,151.0,151.0,151.0,guo_readmission,guo_readmission,count,gbm,4,64,auprc,0.2350791472406183
152,152,152.0,152.0,152.0,guo_readmission,guo_readmission,count,gbm,4,64,brier,0.2480432537679786
153,153,153.0,153.0,153.0,guo_readmission,guo_readmission,count,gbm,0,128,auroc,0.7340431471069108
154,154,154.0,154.0,154.0,guo_readmission,guo_readmission,count,gbm,0,128,auprc,0.259080743173174
155,155,155.0,155.0,155.0,guo_readmission,guo_readmission,count,gbm,0,128,brier,0.2132148457474297
156,156,156.0,156.0,156.0,guo_readmission,guo_readmission,count,gbm,1,128,auroc,0.7425928141324721
157,157,157.0,157.0,157.0,guo_readmission,guo_readmission,count,gbm,1,128,auprc,0.2886017602617925
158,158,158.0,158.0,158.0,guo_readmission,guo_readmission,count,gbm,1,128,brier,0.2134866394749347
159,159,159.0,159.0,159.0,guo_readmission,guo_readmission,count,gbm,2,128,auroc,0.7310832635482712
