,labeling_function,sub_task,model,head,replicate,k,score,value
218,chexpert,Enlarged Cardiomediastinum,count,gbm,0,8,brier,0.5622196552846795
219,chexpert,Enlarged Cardiomediastinum,count,gbm,1,8,auroc,0.6036305666975214
220,chexpert,Enlarged Cardiomediastinum,count,gbm,1,8,auprc,0.023419996125342443
221,chexpert,Enlarged Cardiomediastinum,count,gbm,1,8,brier,0.48321606154722974
222,chexpert,Enlarged Cardiomediastinum,count,gbm,2,8,auroc,0.6135731641468682
223,chexpert,Enlarged Cardiomediastinum,count,gbm,2,8,auprc,0.025110206866580356
224,chexpert,Enlarged Cardiomediastinum,count,gbm,2,8,brier,0.7280478883708422
225,chexpert,Enlarged Cardiomediastinum,count,gbm,3,8,auroc,0.6101605085878844
226,chexpert,Enlarged Cardiomediastinum,count,gbm,3,8,auprc,0.027858518824465384
227,chexpert,Enlarged Cardiomediastinum,count,gbm,3,8,brier,0.3151798637640275
228,chexpert,Enlarged Cardiomediastinum,count,gbm,4,8,auroc,0.4975763010387741
229,chexpert,Enlarged Cardiomediastinum,count,gbm,4,8,auprc,0.017199627903490576
230,chexpert,Enlarged Cardiomediastinum,count,gbm,4,8,brier,0.3197939091945264
231,chexpert,Enlarged Cardiomediastinum,count,gbm,0,12,auroc,0.479329617916281
232,chexpert,Enlarged Cardiomediastinum,count,gbm,0,12,auprc,0.017939062200150645
233,chexpert,Enlarged Cardiomediastinum,count,gbm,0,12,brier,0.6123349640848935
234,chexpert,Enlarged Cardiomediastinum,count,gbm,1,12,auroc,0.5490345058109637
235,chexpert,Enlarged Cardiomediastinum,count,gbm,1,12,auprc,0.02044716222669158
236,chexpert,Enlarged Cardiomediastinum,count,gbm,1,12,brier,0.3267376739481478
237,chexpert,Enlarged Cardiomediastinum,count,gbm,2,12,auroc,0.6131203075182557
238,chexpert,Enlarged Cardiomediastinum,count,gbm,2,12,auprc,0.02472859056506289
239,chexpert,Enlarged Cardiomediastinum,count,gbm,2,12,brier,0.42284513359614173
240,chexpert,Enlarged Cardiomediastinum,count,gbm,3,12,auroc,0.5468351460454592
241,chexpert,Enlarged Cardiomediastinum,count,gbm,3,12,auprc,0.022934246179835138
242,chexpert,Enlarged Cardiomediastinum,count,gbm,3,12,brier,0.48184111192596135
243,chexpert,Enlarged Cardiomediastinum,count,gbm,4,12,auroc,0.5170202098117864
244,chexpert,Enlarged Cardiomediastinum,count,gbm,4,12,auprc,0.017459116832764972
245,chexpert,Enlarged Cardiomediastinum,count,gbm,4,12,brier,0.4636230213508851
246,chexpert,Enlarged Cardiomediastinum,count,gbm,0,16,auroc,0.41629994600431963
247,chexpert,Enlarged Cardiomediastinum,count,gbm,0,16,auprc,0.014773320036164026
248,chexpert,Enlarged Cardiomediastinum,count,gbm,0,16,brier,0.5306692382681311
249,chexpert,Enlarged Cardiomediastinum,count,gbm,1,16,auroc,0.5680981950015427
250,chexpert,Enlarged Cardiomediastinum,count,gbm,1,16,auprc,0.021935073140294362
251,chexpert,Enlarged Cardiomediastinum,count,gbm,1,16,brier,0.3330272643767853
252,chexpert,Enlarged Cardiomediastinum,count,gbm,2,16,auroc,0.5939409132983646
253,chexpert,Enlarged Cardiomediastinum,count,gbm,2,16,auprc,0.02353794225907208
254,chexpert,Enlarged Cardiomediastinum,count,gbm,2,16,brier,0.6237363179467498
255,chexpert,Enlarged Cardiomediastinum,count,gbm,3,16,auroc,0.6149905507559396
256,chexpert,Enlarged Cardiomediastinum,count,gbm,3,16,auprc,0.026734176219030986
257,chexpert,Enlarged Cardiomediastinum,count,gbm,3,16,brier,0.4657015498454858
258,chexpert,Enlarged Cardiomediastinum,count,gbm,4,16,auroc,0.5671622698755528
259,chexpert,Enlarged Cardiomediastinum,count,gbm,4,16,auprc,0.021800735275829694
260,chexpert,Enlarged Cardiomediastinum,count,gbm,4,16,brier,0.32739397191185415
261,chexpert,Enlarged Cardiomediastinum,count,gbm,0,24,auroc,0.5806984726936131
262,chexpert,Enlarged Cardiomediastinum,count,gbm,0,24,auprc,0.022152610219770868
263,chexpert,Enlarged Cardiomediastinum,count,gbm,0,24,brier,0.3118997704356906
264,chexpert,Enlarged Cardiomediastinum,count,gbm,1,24,auroc,0.5814177722925024
265,chexpert,Enlarged Cardiomediastinum,count,gbm,1,24,auprc,0.027696575748505276
266,chexpert,Enlarged Cardiomediastinum,count,gbm,1,24,brier,0.523178704219266
267,chexpert,Enlarged Cardiomediastinum,count,gbm,2,24,auroc,0.6168389385991978
268,chexpert,Enlarged Cardiomediastinum,count,gbm,2,24,auprc,0.023356316381124217
269,chexpert,Enlarged Cardiomediastinum,count,gbm,2,24,brier,0.6546406004633782
270,chexpert,Enlarged Cardiomediastinum,count,gbm,3,24,auroc,0.5230786537077033
271,chexpert,Enlarged Cardiomediastinum,count,gbm,3,24,auprc,0.021057783191132374
272,chexpert,Enlarged Cardiomediastinum,count,gbm,3,24,brier,0.4223869574441077
273,chexpert,Enlarged Cardiomediastinum,count,gbm,4,24,auroc,0.6435439807672529
274,chexpert,Enlarged Cardiomediastinum,count,gbm,4,24,auprc,0.02868972441178844
275,chexpert,Enlarged Cardiomediastinum,count,gbm,4,24,brier,0.41852998668273433
276,chexpert,Enlarged Cardiomediastinum,count,gbm,0,32,auroc,0.6311465082793377
277,chexpert,Enlarged Cardiomediastinum,count,gbm,0,32,auprc,0.02764503456620457
278,chexpert,Enlarged Cardiomediastinum,count,gbm,0,32,brier,0.6041174805294013
279,chexpert,Enlarged Cardiomediastinum,count,gbm,1,32,auroc,0.5967168697932737
280,chexpert,Enlarged Cardiomediastinum,count,gbm,1,32,auprc,0.0357103850592238
281,chexpert,Enlarged Cardiomediastinum,count,gbm,1,32,brier,0.5297339018410354
282,chexpert,Enlarged Cardiomediastinum,count,gbm,2,32,auroc,0.6012293659364394
283,chexpert,Enlarged Cardiomediastinum,count,gbm,2,32,auprc,0.025805321617692598
284,chexpert,Enlarged Cardiomediastinum,count,gbm,2,32,brier,0.45035675014754845
285,chexpert,Enlarged Cardiomediastinum,count,gbm,3,32,auroc,0.5865245423223284
286,chexpert,Enlarged Cardiomediastinum,count,gbm,3,32,auprc,0.02834539765841003
287,chexpert,Enlarged Cardiomediastinum,count,gbm,3,32,brier,0.6029461690881631
288,chexpert,Enlarged Cardiomediastinum,count,gbm,4,32,auroc,0.6397928879975316
289,chexpert,Enlarged Cardiomediastinum,count,gbm,4,32,auprc,0.027397011537043728
290,chexpert,Enlarged Cardiomediastinum,count,gbm,4,32,brier,0.47056518380322393
291,chexpert,Enlarged Cardiomediastinum,count,gbm,0,48,auroc,0.5782031008947855
292,chexpert,Enlarged Cardiomediastinum,count,gbm,0,48,auprc,0.024942158932331468
293,chexpert,Enlarged Cardiomediastinum,count,gbm,0,48,brier,0.3950119134801293
294,chexpert,Enlarged Cardiomediastinum,count,gbm,1,48,auroc,0.6018782783091638
