,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
172,172,172.0,guo_icu,guo_icu,count,lr_lbfgs,0,1,auprc,0.0710375238658191
173,173,173.0,guo_icu,guo_icu,count,lr_lbfgs,0,1,brier,0.2499626468684177
174,174,174.0,guo_icu,guo_icu,count,lr_lbfgs,1,1,auroc,0.4965947444551591
175,175,175.0,guo_icu,guo_icu,count,lr_lbfgs,1,1,auprc,0.0515713930726227
176,176,176.0,guo_icu,guo_icu,count,lr_lbfgs,1,1,brier,0.2499694363092294
177,177,177.0,guo_icu,guo_icu,count,lr_lbfgs,2,1,auroc,0.5719985535197685
178,178,178.0,guo_icu,guo_icu,count,lr_lbfgs,2,1,auprc,0.0726731189139368
179,179,179.0,guo_icu,guo_icu,count,lr_lbfgs,2,1,brier,0.2498851883152354
180,180,180.0,guo_icu,guo_icu,count,lr_lbfgs,3,1,auroc,0.5514886692381871
181,181,181.0,guo_icu,guo_icu,count,lr_lbfgs,3,1,auprc,0.045996836668873
182,182,182.0,guo_icu,guo_icu,count,lr_lbfgs,3,1,brier,0.2500673754549334
183,183,183.0,guo_icu,guo_icu,count,lr_lbfgs,4,1,auroc,0.4847094985535197
184,184,184.0,guo_icu,guo_icu,count,lr_lbfgs,4,1,auprc,0.0386931847879387
185,185,185.0,guo_icu,guo_icu,count,lr_lbfgs,4,1,brier,0.2500168715396937
186,186,186.0,guo_icu,guo_icu,count,lr_lbfgs,0,2,auroc,0.5291164416586307
187,187,187.0,guo_icu,guo_icu,count,lr_lbfgs,0,2,auprc,0.0471673598707209
188,188,188.0,guo_icu,guo_icu,count,lr_lbfgs,0,2,brier,0.2500692685311697
189,189,189.0,guo_icu,guo_icu,count,lr_lbfgs,1,2,auroc,0.603314850530376
190,190,190.0,guo_icu,guo_icu,count,lr_lbfgs,1,2,auprc,0.0707190284658943
191,191,191.0,guo_icu,guo_icu,count,lr_lbfgs,1,2,brier,0.2499705323064212
192,192,192.0,guo_icu,guo_icu,count,lr_lbfgs,2,2,auroc,0.5247107039537127
193,193,193.0,guo_icu,guo_icu,count,lr_lbfgs,2,2,auprc,0.0428358521222191
194,194,194.0,guo_icu,guo_icu,count,lr_lbfgs,2,2,brier,0.2500625687956057
195,195,195.0,guo_icu,guo_icu,count,lr_lbfgs,3,2,auroc,0.6484992767598843
196,196,196.0,guo_icu,guo_icu,count,lr_lbfgs,3,2,auprc,0.0674059571776216
197,197,197.0,guo_icu,guo_icu,count,lr_lbfgs,3,2,brier,0.5082429181224106
198,198,198.0,guo_icu,guo_icu,count,lr_lbfgs,4,2,auroc,0.4717635004821601
199,199,199.0,guo_icu,guo_icu,count,lr_lbfgs,4,2,auprc,0.0387743102803055
200,200,200.0,guo_icu,guo_icu,count,lr_lbfgs,4,2,brier,0.2500500823290648
201,201,201.0,guo_icu,guo_icu,count,lr_lbfgs,0,4,auroc,0.5618490838958534
202,202,202.0,guo_icu,guo_icu,count,lr_lbfgs,0,4,auprc,0.0484207271192459
203,203,203.0,guo_icu,guo_icu,count,lr_lbfgs,0,4,brier,0.2500449293599068
204,204,204.0,guo_icu,guo_icu,count,lr_lbfgs,1,4,auroc,0.5267659112825458
205,205,205.0,guo_icu,guo_icu,count,lr_lbfgs,1,4,auprc,0.0484149076527474
206,206,206.0,guo_icu,guo_icu,count,lr_lbfgs,1,4,brier,0.2392617930450891
207,207,207.0,guo_icu,guo_icu,count,lr_lbfgs,2,4,auroc,0.5788512536162006
208,208,208.0,guo_icu,guo_icu,count,lr_lbfgs,2,4,auprc,0.0515720064507327
209,209,209.0,guo_icu,guo_icu,count,lr_lbfgs,2,4,brier,0.2500359910716274
210,210,210.0,guo_icu,guo_icu,count,lr_lbfgs,3,4,auroc,0.6900132594021214
211,211,211.0,guo_icu,guo_icu,count,lr_lbfgs,3,4,auprc,0.0797113177344365
212,212,212.0,guo_icu,guo_icu,count,lr_lbfgs,3,4,brier,0.341172852252279
213,213,213.0,guo_icu,guo_icu,count,lr_lbfgs,4,4,auroc,0.5272058823529412
214,214,214.0,guo_icu,guo_icu,count,lr_lbfgs,4,4,auprc,0.0442710668628061
215,215,215.0,guo_icu,guo_icu,count,lr_lbfgs,4,4,brier,0.2454262465211499
216,216,216.0,guo_icu,guo_icu,count,lr_lbfgs,0,8,auroc,0.5549120057859209
217,217,217.0,guo_icu,guo_icu,count,lr_lbfgs,0,8,auprc,0.0484131146141491
218,218,218.0,guo_icu,guo_icu,count,lr_lbfgs,0,8,brier,0.2036213444710394
219,219,219.0,guo_icu,guo_icu,count,lr_lbfgs,1,8,auroc,0.6291706846673095
220,220,220.0,guo_icu,guo_icu,count,lr_lbfgs,1,8,auprc,0.0697077870263065
221,221,221.0,guo_icu,guo_icu,count,lr_lbfgs,1,8,brier,0.2499984928581052
222,222,222.0,guo_icu,guo_icu,count,lr_lbfgs,2,8,auroc,0.5552013018322083
223,223,223.0,guo_icu,guo_icu,count,lr_lbfgs,2,8,auprc,0.0532801247282707
224,224,224.0,guo_icu,guo_icu,count,lr_lbfgs,2,8,brier,0.2597210525025807
225,225,225.0,guo_icu,guo_icu,count,lr_lbfgs,3,8,auroc,0.6830520732883317
226,226,226.0,guo_icu,guo_icu,count,lr_lbfgs,3,8,auprc,0.1113677120694281
227,227,227.0,guo_icu,guo_icu,count,lr_lbfgs,3,8,brier,0.2304535904291747
228,228,228.0,guo_icu,guo_icu,count,lr_lbfgs,4,8,auroc,0.5917821841851494
229,229,229.0,guo_icu,guo_icu,count,lr_lbfgs,4,8,auprc,0.0539293051183803
230,230,230.0,guo_icu,guo_icu,count,lr_lbfgs,4,8,brier,0.3016670212709336
231,231,231.0,guo_icu,guo_icu,count,lr_lbfgs,0,12,auroc,0.5912487945998071
232,232,232.0,guo_icu,guo_icu,count,lr_lbfgs,0,12,auprc,0.0702870503428233
233,233,233.0,guo_icu,guo_icu,count,lr_lbfgs,0,12,brier,0.2416586434581881
234,234,234.0,guo_icu,guo_icu,count,lr_lbfgs,1,12,auroc,0.6221642960462874
235,235,235.0,guo_icu,guo_icu,count,lr_lbfgs,1,12,auprc,0.0632870762638812
236,236,236.0,guo_icu,guo_icu,count,lr_lbfgs,1,12,brier,0.2509099033774458
237,237,237.0,guo_icu,guo_icu,count,lr_lbfgs,2,12,auroc,0.6252049180327869
238,238,238.0,guo_icu,guo_icu,count,lr_lbfgs,2,12,auprc,0.0745807648315431
239,239,239.0,guo_icu,guo_icu,count,lr_lbfgs,2,12,brier,0.2474621249045976
240,240,240.0,guo_icu,guo_icu,count,lr_lbfgs,3,12,auroc,0.7193165380906459
241,241,241.0,guo_icu,guo_icu,count,lr_lbfgs,3,12,auprc,0.1149550400790389
242,242,242.0,guo_icu,guo_icu,count,lr_lbfgs,3,12,brier,0.324773027228309
243,243,243.0,guo_icu,guo_icu,count,lr_lbfgs,4,12,auroc,0.6321480231436838
244,244,244.0,guo_icu,guo_icu,count,lr_lbfgs,4,12,auprc,0.0576623620674737
245,245,245.0,guo_icu,guo_icu,count,lr_lbfgs,4,12,brier,0.3209487200897882
246,246,246.0,guo_icu,guo_icu,count,lr_lbfgs,0,16,auroc,0.5943466730954677
