,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
72,72,72.0,72.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,3,12,auroc,0.5539863455047274
73,73,73.0,73.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,3,12,auprc,0.0272751478864991
74,74,74.0,74.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,3,12,brier,0.4115717807127699
75,75,75.0,75.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,4,12,auroc,0.528092405610562
76,76,76.0,76.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,4,12,auprc,0.025505208652596
77,77,77.0,77.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,4,12,brier,0.6153462150778743
78,78,78.0,78.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,16,auroc,0.4790165879313852
79,79,79.0,79.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,16,auprc,0.0229202644927173
80,80,80.0,80.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,16,brier,0.5446824551183248
81,81,81.0,81.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,16,auroc,0.4973197922037678
82,82,82.0,82.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,16,auprc,0.0239262106167672
83,83,83.0,83.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,16,brier,0.5266550971226667
84,84,84.0,84.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,2,16,auroc,0.5287358648040784
85,85,85.0,85.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,2,16,auprc,0.0253692607127264
86,86,86.0,86.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,2,16,brier,0.4025940754665508
87,87,87.0,87.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,3,16,auroc,0.5820358970127888
88,88,88.0,88.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,3,16,auprc,0.0307891643451196
89,89,89.0,89.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,3,16,brier,0.4002558265613541
90,90,90.0,90.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,4,16,auroc,0.5319949319933217
91,91,91.0,91.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,4,16,auprc,0.0279750150916637
92,92,92.0,92.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,4,16,brier,0.4551582685805176
93,93,93.0,93.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,24,auroc,0.5892352618829696
