,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
88,88.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,16,auprc,0.0151344225405604
89,89.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,16,brier,0.429546577206438
90,90.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,16,auroc,0.4678571997028863
91,91.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,16,auprc,0.0129188720650027
92,92.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,16,brier,0.4328023128639319
93,93.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,24,auroc,0.5340531562441049
94,94.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,24,auprc,0.0149357015978795
95,95.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,24,brier,0.3695919525668082
96,96.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,24,auroc,0.5479582530124033
97,97.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,24,auprc,0.016715835572858
98,98.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,24,brier,0.2658110715726778
99,99.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,24,auroc,0.5112528038636578
100,100.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,24,auprc,0.0148993228021681
101,101.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,24,brier,0.402089872420325
102,102.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,24,auroc,0.5426103417987173
103,103.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,24,auprc,0.0159106232923
104,104.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,24,brier,0.3965835261207191
105,105.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,24,auroc,0.49343943801877
106,106.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,24,auprc,0.0140182022973065
107,107.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,24,brier,0.3872460169629038
108,108.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,32,auroc,0.5071954657729674
109,109.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,32,auprc,0.0136220630702391
110,110.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,32,brier,0.3357576408035734
111,111.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,32,auroc,0.5679827066827015
112,112.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,32,auprc,0.0193861094523497
113,113.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,32,brier,0.3216532003211551
114,114.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,32,auroc,0.4996055579136012
115,115.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,32,auprc,0.0142787311839035
116,116.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,32,brier,0.3534102794525124
117,117.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,32,auroc,0.5637050792303339
118,118.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,32,auprc,0.0177452924988283
119,119.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,32,brier,0.3899026081515394
120,120.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,32,auroc,0.5278687836021505
121,121.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,32,auprc,0.0142326218604723
122,122.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,32,brier,0.3000683977563703
123,123.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,48,auroc,0.54035708548505
124,124.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,48,auprc,0.0159265867229076
125,125.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,48,brier,0.2848677537033509
126,126.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,48,auroc,0.530052112808904
127,127.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,48,auprc,0.015860797509382
128,128.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,48,brier,0.3568255968570227
129,129.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,48,auroc,0.50149838326495
130,130.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,48,auprc,0.0148496512217163
131,131.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,48,brier,0.2448343573968617
132,132.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,48,auroc,0.5757118939822675
133,133.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,48,auprc,0.0163719413563168
134,134.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,48,brier,0.2876865367056179
135,135.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,48,auroc,0.5563889073111206
136,136.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,48,auprc,0.0165802113800178
137,137.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,48,brier,0.3512794414368717
138,138.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,64,auroc,0.5546653306864271
139,139.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,64,auprc,0.0186458190489856
140,140.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,64,brier,0.3235181221844063
141,141.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,64,auroc,0.5486024784533579
142,142.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,64,auprc,0.0153595782899609
143,143.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,64,brier,0.3491498548353974
144,144.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,64,auroc,0.5071733959394453
145,145.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,64,auprc,0.0146131422117284
146,146.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,64,brier,0.2418569076119058
147,147.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,64,auroc,0.5647615021045558
148,148.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,64,auprc,0.0168397497760421
149,149.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,64,brier,0.2806804174941393
150,150.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,64,auroc,0.5395706072557065
151,151.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,64,auprc,0.0155427667404881
152,152.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,64,brier,0.2848030222554544
153,153.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,128,auroc,0.583841031615497
154,154.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,128,auprc,0.0182384920006383
155,155.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,0,128,brier,0.3586300735566283
156,156.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,128,auroc,0.5515290931251179
157,157.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,128,auprc,0.0175055364670381
158,158.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,1,128,brier,0.2429245769696353
159,159.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,128,auroc,0.5207583916949632
160,160.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,128,auprc,0.0154035280703707
161,161.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,2,128,brier,0.2934083355326694
