,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
81,81.0,81.0,81.0,new_celiac,new_celiac,count,gbm,1,16,auroc,0.5342160489820644
82,82.0,82.0,82.0,new_celiac,new_celiac,count,gbm,1,16,auprc,0.0112691408323975
83,83.0,83.0,83.0,new_celiac,new_celiac,count,gbm,1,16,brier,0.4043514435289657
84,84.0,84.0,84.0,new_celiac,new_celiac,count,gbm,2,16,auroc,0.6724973496895351
85,85.0,85.0,85.0,new_celiac,new_celiac,count,gbm,2,16,auprc,0.0194467785929837
86,86.0,86.0,86.0,new_celiac,new_celiac,count,gbm,2,16,brier,0.6185682361400382
87,87.0,87.0,87.0,new_celiac,new_celiac,count,gbm,3,16,auroc,0.5857402479392484
88,88.0,88.0,88.0,new_celiac,new_celiac,count,gbm,3,16,auprc,0.0172115011135185
89,89.0,89.0,89.0,new_celiac,new_celiac,count,gbm,3,16,brier,0.5850596174818647
90,90.0,90.0,90.0,new_celiac,new_celiac,count,gbm,4,16,auroc,0.4328227429090673
91,91.0,91.0,91.0,new_celiac,new_celiac,count,gbm,4,16,auprc,0.0094549852301211
92,92.0,92.0,92.0,new_celiac,new_celiac,count,gbm,4,16,brier,0.3717181294265346
93,93.0,93.0,93.0,new_celiac,new_celiac,count,gbm,0,24,auroc,0.4323251335972826
94,94.0,94.0,94.0,new_celiac,new_celiac,count,gbm,0,24,auprc,0.0099601705417027
95,95.0,95.0,95.0,new_celiac,new_celiac,count,gbm,0,24,brier,0.4344888126009123
96,96.0,96.0,96.0,new_celiac,new_celiac,count,gbm,1,24,auroc,0.6007875208238679
97,97.0,97.0,97.0,new_celiac,new_celiac,count,gbm,1,24,auprc,0.0150805439448693
98,98.0,98.0,98.0,new_celiac,new_celiac,count,gbm,1,24,brier,0.4489832132936797
99,99.0,99.0,99.0,new_celiac,new_celiac,count,gbm,2,24,auroc,0.6904437376949871
100,100.0,100.0,100.0,new_celiac,new_celiac,count,gbm,2,24,auprc,0.019802414220056
101,101.0,101.0,101.0,new_celiac,new_celiac,count,gbm,2,24,brier,0.3657631788480291
102,102.0,102.0,102.0,new_celiac,new_celiac,count,gbm,3,24,auroc,0.6731896756885398
103,103.0,103.0,103.0,new_celiac,new_celiac,count,gbm,3,24,auprc,0.0152337562740957
104,104.0,104.0,104.0,new_celiac,new_celiac,count,gbm,3,24,brier,0.3619304963357909
105,105.0,105.0,105.0,new_celiac,new_celiac,count,gbm,4,24,auroc,0.5841825144414876
