,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
74,74.0,74.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,12,brier,0.4866235191120801
75,75.0,75.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,12,auroc,0.5679420858039231
76,76.0,76.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,12,auprc,0.466476362978096
77,77.0,77.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,12,brier,0.5231042798113822
78,78.0,78.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,16,auroc,0.5559271162528372
79,79.0,79.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,16,auprc,0.3945147214105463
80,80.0,80.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,16,brier,0.4270511914647801
81,81.0,81.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,16,auroc,0.6043336008833307
82,82.0,82.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,16,auprc,0.4773194207411171
83,83.0,83.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,16,brier,0.467209712470864
84,84.0,84.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,16,auroc,0.6335089382941786
85,85.0,85.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,16,auprc,0.4766457592602424
86,86.0,86.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,16,brier,0.3815966131127309
87,87.0,87.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,16,auroc,0.5667520218764378
88,88.0,88.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,16,auprc,0.3897792432736586
89,89.0,89.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,16,brier,0.4026147753586911
90,90.0,90.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,16,auroc,0.7050953988380225
91,91.0,91.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,16,auprc,0.5704000918182668
92,92.0,92.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,16,brier,0.2945729596222833
93,93.0,93.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,24,auroc,0.6335155977920455
94,94.0,94.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,24,auprc,0.4770040508242098
95,95.0,95.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,24,brier,0.4503584778373952
96,96.0,96.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,24,auroc,0.6174322221598036
97,97.0,97.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,24,auprc,0.4445530915789996
98,98.0,98.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,24,brier,0.3093252450499189
99,99.0,99.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,24,auroc,0.6270128895922664
100,100.0,100.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,24,auprc,0.469454931608093
101,101.0,101.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,24,brier,0.3859439642823244
102,102.0,102.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,24,auroc,0.5595276529271759
103,103.0,103.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,24,auprc,0.3959797105742038
104,104.0,104.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,24,brier,0.4161274279084676
105,105.0,105.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,24,auroc,0.6601262159277752
106,106.0,106.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,24,auprc,0.5333155986929322
107,107.0,107.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,24,brier,0.3369495065768088
108,108.0,108.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,32,auroc,0.6046066796263783
109,109.0,109.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,32,auprc,0.455026536176719
110,110.0,110.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,32,brier,0.4363200261398443
111,111.0,111.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,32,auroc,0.6432382406341555
112,112.0,112.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,32,auprc,0.4647772162033977
113,113.0,113.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,32,brier,0.3800649470432768
114,114.0,114.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,32,auroc,0.6252302385135331
115,115.0,115.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,32,auprc,0.4466040461340661
116,116.0,116.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,32,brier,0.3405508811235439
117,117.0,117.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,32,auroc,0.6531395900690955
118,118.0,118.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,32,auprc,0.4767931834955184
119,119.0,119.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,32,brier,0.3538206629205835
120,120.0,120.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,32,auroc,0.6823164803326943
121,121.0,121.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,32,auprc,0.5197479483151751
122,122.0,122.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,32,brier,0.3405294019214877
123,123.0,123.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,48,auroc,0.6859619324476127
124,124.0,124.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,48,auprc,0.5362941677852622
125,125.0,125.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,48,brier,0.276448990478694
126,126.0,126.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,48,auroc,0.6664358134383573
127,127.0,127.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,48,auprc,0.5322236768803197
128,128.0,128.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,48,brier,0.281536866444248
129,129.0,129.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,48,auroc,0.6806774832335201
130,130.0,130.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,48,auprc,0.5466364610605192
