,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
97,97,97.0,97.0,97.0,new_acutemi,new_acutemi,count,gbm,1,24,auprc,0.1362443736319327
98,98,98.0,98.0,98.0,new_acutemi,new_acutemi,count,gbm,1,24,brier,0.3609360800340853
99,99,99.0,99.0,99.0,new_acutemi,new_acutemi,count,gbm,2,24,auroc,0.5496266879587606
100,100,100.0,100.0,100.0,new_acutemi,new_acutemi,count,gbm,2,24,auprc,0.0838288876090905
101,101,101.0,101.0,101.0,new_acutemi,new_acutemi,count,gbm,2,24,brier,0.4600692828985445
102,102,102.0,102.0,102.0,new_acutemi,new_acutemi,count,gbm,3,24,auroc,0.576043942959601
103,103,103.0,103.0,103.0,new_acutemi,new_acutemi,count,gbm,3,24,auprc,0.1003734952082581
104,104,104.0,104.0,104.0,new_acutemi,new_acutemi,count,gbm,3,24,brier,0.4403079341538081
105,105,105.0,105.0,105.0,new_acutemi,new_acutemi,count,gbm,4,24,auroc,0.6326535972432341
106,106,106.0,106.0,106.0,new_acutemi,new_acutemi,count,gbm,4,24,auprc,0.1294067804575204
107,107,107.0,107.0,107.0,new_acutemi,new_acutemi,count,gbm,4,24,brier,0.4869005285909993
108,108,108.0,108.0,108.0,new_acutemi,new_acutemi,count,gbm,0,32,auroc,0.6828826273323247
109,109,109.0,109.0,109.0,new_acutemi,new_acutemi,count,gbm,0,32,auprc,0.1462646856997154
110,110,110.0,110.0,110.0,new_acutemi,new_acutemi,count,gbm,0,32,brier,0.3551307376392239
111,111,111.0,111.0,111.0,new_acutemi,new_acutemi,count,gbm,1,32,auroc,0.703778996469995
112,112,112.0,112.0,112.0,new_acutemi,new_acutemi,count,gbm,1,32,auprc,0.1390466054124086
113,113,113.0,113.0,113.0,new_acutemi,new_acutemi,count,gbm,1,32,brier,0.4166716303445274
114,114,114.0,114.0,114.0,new_acutemi,new_acutemi,count,gbm,2,32,auroc,0.6202425477671316
115,115,115.0,115.0,115.0,new_acutemi,new_acutemi,count,gbm,2,32,auprc,0.0992925287165038
116,116,116.0,116.0,116.0,new_acutemi,new_acutemi,count,gbm,2,32,brier,0.3728317151868767
117,117,117.0,117.0,117.0,new_acutemi,new_acutemi,count,gbm,3,32,auroc,0.5985319661567771
118,118,118.0,118.0,118.0,new_acutemi,new_acutemi,count,gbm,3,32,auprc,0.085118683799238
